publication_date,meeting_date,committee,sponsor_raw,drug_raw,mapped_ticker,mapped_name,eligible,exclusion_reason,document_number,html_url,title
2023-06-28,2023-06-28,,,Oxandrin,,,False,short_lead,2023-13733,https://www.federalregister.gov/documents/2023/06/28/2023-13733/gemini-laboratories-llc-et-al-withdrawal-of-approval-of-one-new-drug-application-for-oxandrin,"Gemini Laboratories, LLC, et al.; Withdrawal of Approval of One New Drug Application for OXANDRIN (Oxandrolone) Tablets and Four Abbreviated New Drug Applications for Oxandrolone Tablets"
2023-06-29,2023-07-31,,,,,,True,,2023-13863,https://www.federalregister.gov/documents/2023/06/29/2023-13863/agency-information-collection-activities-submission-for-office-of-management-and-budget-review,Agency Information Collection Activities; Submission for Office of Management and Budget Review; Comment Request; Food and Drug Administration Advisory Committee Regulations
2023-07-03,2023-09-13,Cardiovascular and Renal Drugs Advisory Committee,,,,,True,,2023-14037,https://www.federalregister.gov/documents/2023/07/03/2023-14037/cardiovascular-and-renal-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket,Cardiovascular and Renal Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-07-10,2023-08-01,,,,,,True,,2023-14460,https://www.federalregister.gov/documents/2023/07/10/2023-14460/medical-imaging-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request,Medical Imaging Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-07-12,2023-08-28,Cardiovascular and Renal Drugs Advisory Committee,,,,,True,,2023-14690,https://www.federalregister.gov/documents/2023/07/12/2023-14690/request-for-nominations-for-individuals-and-consumer-organizations-for-advisory-committees,Request for Nominations for Individuals and Consumer Organizations for Advisory Committees
2023-07-12,2023-09-11,Nonprescription Drugs Advisory Committee,,,,,True,,2023-14713,https://www.federalregister.gov/documents/2023/07/12/2023-14713/nonprescription-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request,Nonprescription Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-07-14,2023-07-14,,,,,,False,short_lead,2023-14716,https://www.federalregister.gov/documents/2023/07/14/2023-14716/nomenclature-change-for-dockets-management-technical-amendment,Nomenclature Change for Dockets Management; Technical Amendment
2023-07-14,,,,,,,False,no_meeting_date,2023-14919,https://www.federalregister.gov/documents/2023/07/14/2023-14919/advisory-committee-national-mammography-quality-assurance-advisory-committee-renewal,Advisory Committee; National Mammography Quality Assurance Advisory Committee; Renewal
2023-07-14,2023-08-14,Oncologic Drugs Advisory Committee,,,,,True,,2023-14922,https://www.federalregister.gov/documents/2023/07/14/2023-14922/request-for-nominations-from-industry-organizations-interested-in-participating-in-the-selection,Request for Nominations From Industry Organizations Interested in Participating in the Selection Process for Nonvoting Industry Representatives and Request for Nominations for Nonvoting Industry Repre
2023-07-14,2023-09-19,Pediatric Advisory Committee,,,,,True,,2023-14923,https://www.federalregister.gov/documents/2023/07/14/2023-14923/pediatric-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for-comments,Pediatric Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-07-27,2023-07-27,,,,,,False,short_lead,2023-15879,https://www.federalregister.gov/documents/2023/07/27/2023-15879/hydrogen-peroxide-based-contact-lens-care-products-consumer-labeling-recommendations-premarket,Hydrogen Peroxide-Based Contact Lens Care Products: Consumer Labeling Recommendations-Premarket Notification (510(k)) Submissions; Guidance for Industry and Food and Drug Administration Staff; Availab
2023-07-27,2023-09-27,"Cellular, Tissue, and Gene Therapies Advisory Committee",,,,,True,,2023-15923,https://www.federalregister.gov/documents/2023/07/27/2023-15923/cellular-tissue-and-gene-therapies-advisory-committee-notice-of-meeting-establishment-of-a-public,"Cellular, Tissue, and Gene Therapies Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments"
2023-08-07,2023-08-24,,,,,,True,,2023-16812,https://www.federalregister.gov/documents/2023/08/07/2023-16812/international-drug-scheduling-convention-on-psychotropic-substances-single-convention-on-narcotic,International Drug Scheduling; Convention on Psychotropic Substances; Single Convention on Narcotic Drugs; Bromazolam; Flubromazepam; Butonitazene; 3-Chloromethcathinone (3-CMC); Dipentylone; 2-Fluoro
2023-08-10,2023-09-11,,,,,,True,,2023-17149,https://www.federalregister.gov/documents/2023/08/10/2023-17149/request-for-nominations-on-the-tobacco-products-scientific-advisory-committee-small-business-pool,Request for Nominations on the Tobacco Products Scientific Advisory Committee-Small Business Pool
2023-08-14,2023-09-07,,,,,,True,,2023-17287,https://www.federalregister.gov/documents/2023/08/14/2023-17287/microbiology-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting-establishment,Microbiology Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
