ticker,ticker_source,target_cik,target_name,sic,sic_biotech,institutions,sc13d_new,sc13g_new,form4_all,form_amendment_count,form_other_count,total_events,first_event_date,accession_first_event,listing_status,form25_accession,form25_date
ACRS,submissions.tickers,0001557746,"Aclaris Therapeutics, Inc.",2834,True,RA Capital,0,1,0,1,0,1,2022-04-25,0001104659-22-049665,ACTIVE,,
ELVN,submissions.tickers,0001672619,"Enliven Therapeutics, Inc.",2834,True,OrbiMed;RA Capital,1,1,0,5,0,2,2022-10-24,0001104659-22-110941,ACTIVE,,
DSGN,submissions.tickers,0001807120,"Design Therapeutics, Inc.",2834,True,RA Capital,0,1,0,1,0,1,2022-10-13,0001104659-22-108513,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001831283,LianBio,2834,True,Perceptive;RA Capital,1,1,0,2,0,2,2021-11-15,0001104659-21-139244,DELISTED,0001628280-24-010146,2024-03-11
ACET,submissions.tickers,0001720580,"Adicet Bio, Inc.",2834,True,OrbiMed;RA Capital,0,2,0,6,0,2,2022-10-17,0001104659-22-109351,ACTIVE,,
FDMT,submissions.tickers,0001650648,"4D Molecular Therapeutics, Inc.",2836,True,Deep Track;RA Capital,0,2,0,7,0,2,2021-11-04,0001172661-21-002113,ACTIVE,,
RXRX,submissions.tickers,0001601830,"RECURSION PHARMACEUTICALS, INC.",2836,True,RA Capital,0,1,0,0,0,1,2024-07-08,0001104659-24-078315,ACTIVE,,
ADGM,submissions.tickers,0002006986,"Adagio Medical Holdings, Inc.",3841,False,Perceptive;RA Capital,0,2,0,0,0,2,2024-08-12,0001104659-24-088367,ACTIVE,,
MGNX,submissions.tickers,0001125345,MACROGENICS INC,2834,True,RA Capital,0,1,0,3,0,1,2023-10-30,0001104659-23-112608,ACTIVE,,
FULC,submissions.tickers,0001680581,"Fulcrum Therapeutics, Inc.",2834,True,RA Capital,0,1,0,4,0,1,2022-08-26,0001104659-22-095158,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001888012,"HilleVax, Inc.",2836,True,Deep Track;RA Capital,0,2,0,3,0,2,2023-02-14,0001104659-23-021809,DELISTED,0001354457-25-000913,2025-09-17
PYXS,submissions.tickers,0001782223,"Pyxis Oncology, Inc.",2834,True,Deep Track;RA Capital,0,2,0,2,0,2,2021-10-25,0001104659-21-129526,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001484565,SOLENO THERAPEUTICS INC,2834,True,Perceptive;RA Capital,1,1,0,8,0,2,2023-05-18,0001193125-23-148210,DELISTED,0001354457-26-000469,2026-05-18
IOBTQ,submissions.tickers,0001865494,"IO Biotech, Inc.",2834,True,RA Capital,0,1,0,1,0,1,2021-11-19,0001104659-21-141912,DELISTED,0001354457-26-000541,2026-06-08
,미복구 · no 10-K/10-Q found,0001826492,Gracell Biotechnologies Inc.,2834,True,OrbiMed;RA Capital,1,2,0,3,0,3,2022-02-11,0000947871-22-000200,DELISTED,0001354457-24-000103,2024-02-22
TARA,submissions.tickers,0001359931,"Protara Therapeutics, Inc.",2836,True,OrbiMed;Perceptive;RA Capital,0,2,0,3,0,2,2022-02-11,0000947871-22-000210,ACTIVE,,
BOLD,submissions.tickers,0001782303,"Boundless Bio, Inc.",2834,True,RA Capital,0,1,0,0,0,1,2024-04-12,0001104659-24-046791,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001748907,Orchard Therapeutics plc,2836,True,Deep Track;RA Capital,0,2,0,4,0,2,2023-03-20,0001104659-23-034475,DELISTED,0001354457-24-000027,2024-01-24
CRVO,submissions.tickers,0001053691,CervoMed Inc.,2834,True,RA Capital,0,1,0,0,0,1,2024-04-11,0001104659-24-046428,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001708493,"Harpoon Therapeutics, Inc.",2836,True,OrbiMed;RA Capital,0,1,0,3,0,1,2023-11-06,0001104659-23-114778,DELISTED,0001354457-24-000134,2024-03-11
UNCY,submissions.tickers,0001766140,"Unicycive Therapeutics, Inc.",2834,True,RA Capital,0,1,0,2,0,1,2023-07-06,0001104659-23-078756,ACTIVE,,
TSHA,submissions.tickers,0001806310,"Taysha Gene Therapies, Inc.",2836,True,RA Capital,0,1,0,2,0,1,2023-08-25,0001104659-23-095393,ACTIVE,,
